,hs300,zz500,P,flag_hs,flag_zz,rd_strategy,change,net_zz,net_hs,rd_zz,rd_hs,net_strategy
290,3074.78,5639.8,0.6066152499047135,1,0,0.0029650747466312133,0,1.0411259327083884,0.8443625499102028,-0.008925260825327408,0.0029650747466312133,0.9517681581954727
291,3090.03,5562.8,0.5879207790219283,1,0,0.00495970443413829,0,1.0269114753129938,0.8485503385930128,-0.01365296641724889,0.00495970443413829,0.9564886469499464
292,3124.2,5745.98,0.6093222294540563,1,0,0.01105814506655256,0,1.0607271156466087,0.8579337313334466,0.03292945998418051,0.01105814506655256,0.9670656371624294
293,3171.96,5949.26,0.6289171487224703,1,0,0.015287113501056382,0,1.0982532831704503,0.8710490616607258,0.03537777715898782,0.015287113501056382,0.9818492793207029
294,3249.44,6099.48,0.629720847841325,1,0,0.024426537535151782,0,1.1259843973254653,0.8923257742603403,0.025250199184436273,0.024426537535151782,1.0058324575958917
295,3225.79,6075.49,0.6330847629201681,1,0,-0.007278177162834187,0,1.1215557631317574,0.8858312691883103,-0.003933122167791292,-0.007278177162834187,0.9985118307733799
296,3236.09,6118.97,0.6370279707832793,1,0,0.0031930162843831766,0,1.1295823164765855,0.8886597428560444,0.00715662440395759,0.0031930162843831766,1.0017000953091886
297,3181.85,6018.42,0.6373619777596744,1,0,-0.01676096771103408,0,1.1110204503583136,0.8737649455999384,-0.016432504163282458,-0.01676096771103408,0.9849106323555715
298,3197.82,6077.43,0.6421125815984841,1,0,0.005019092666216363,0,1.121913893616784,0.878150452830396,0.00980489896019221,0.005019092666216363,0.9898539900873059
299,3169.73,6037.78,0.6443899839547704,1,0,-0.00878410917437511,0,1.1145943710748698,0.8704366833812069,-0.006524139315467359,-0.00878410917437511,0.9811590045716881
300,3135.41,5921.87,0.6358923303622888,0,1,-0.01919745336862222,1,1.0931969976112312,0.8610120992766798,-0.01919745336862222,-0.01082742063204123,0.9623232503342194
